"","input","filtered","denoisedF","nonchim","filtered_pct","denoisedF_pct","nonchim_pct"
"M1.D2F31.1",116937,105299,101134,67822,90,86.5,58
"M10.D5F31.12",114070,103835,100377,72215,91,88,63.3
"M11.D2C21.1",55841,51022,49070,38489,91.4,87.9,68.9
"M12.D2F41.13",112314,102641,98810,68182,91.4,88,60.7
"M13.D2C11.13",100411,90842,88119,62451,90.5,87.8,62.2
"M15.D5F31.7",113587,103623,101682,70887,91.2,89.5,62.4
"M18.D1F41.1",87861,79066,76343,46754,90,86.9,53.2
"M19.D1C22.1",101070,91564,89064,68571,90.6,88.1,67.8
"M2.D5C11.1",107075,98655,96386,63953,92.1,90,59.7
"M20.D1C22.10",100891,91500,88700,66573,90.7,87.9,66
"M21.D5C12.12",100544,91156,87441,63977,90.7,87,63.6
"M22.D1C11.10",106276,96805,94528,69537,91.1,88.9,65.4
"M23.D5F41.1",63247,57896,56045,39546,91.5,88.6,62.5
"M24.D2F31.13",103041,93144,90104,63647,90.4,87.4,61.8
"M25.D1C12.7",100137,91129,87855,60115,91,87.7,60
"M26.D1F42.7",102670,93946,90547,57090,91.5,88.2,55.6
"M27.D4C21.15",102468,94243,92373,67734,92,90.1,66.1
"M28.D2C22.8",114400,104673,101730,70237,91.5,88.9,61.4
"M29.D2C11.8",94120,86629,84219,54090,92,89.5,57.5
"M30.D2C12.13",61404,56436,54450,33457,91.9,88.7,54.5
"M33.D2F41.8",74475,66748,62028,45050,89.6,83.3,60.5
"M34.D5C12.7",113229,103483,100803,67274,91.4,89,59.4
"M35.D5C21.1",56107,51311,49697,37107,91.5,88.6,66.1
"M36.D5F42.12",109237,100138,95536,63957,91.7,87.5,58.5
"M37.D1F32.7",102304,92554,89272,62192,90.5,87.3,60.8
"M38.D1F32.1",110251,100039,97761,65415,90.7,88.7,59.3
"M39.D1F32.10",107652,98509,96439,71988,91.5,89.6,66.9
"M4.D1C21.7",103964,95471,92457,65795,91.8,88.9,63.3
"M40.D2C21.8",108522,99340,96493,69324,91.5,88.9,63.9
"M41.D2F32.8",86358,78354,75745,51259,90.7,87.7,59.4
"M43.D2C11.1",109808,100582,97570,73230,91.6,88.9,66.7
"M44.D2C22.1",117603,107629,103650,80534,91.5,88.1,68.5
"M45.D2F32.13",112197,102960,98412,68646,91.8,87.7,61.2
"M48.D5F32.1",101375,90260,84333,61185,89,83.2,60.4
"M49.D5F31.1",115379,104251,101404,73002,90.4,87.9,63.3
"M50.D1C22.7",100626,91694,87996,53512,91.1,87.4,53.2
"M51.D1C12.1",113632,103872,100863,71468,91.4,88.8,62.9
"M52.D1C12.10",102214,92470,89157,60103,90.5,87.2,58.8
"M53.D2C12.1",38124,34623,32595,25449,90.8,85.5,66.8
"M55.D2F41.1",87053,79555,76986,55135,91.4,88.4,63.3
"M56.D2F42.1",86713,79160,75929,56492,91.3,87.6,65.1
"M57.D5C22.12",85327,77555,75281,57452,90.9,88.2,67.3
"M58.D5C11.12",117494,106763,104574,69146,90.9,89,58.9
"M60.D5C22.1",99473,90898,88129,62602,91.4,88.6,62.9
"M63.D1F42.10",100309,91978,89679,65488,91.7,89.4,65.3
"M64.D2F42.13",106106,97002,93927,64820,91.4,88.5,61.1
"M65.D5C21.12",43668,40058,38068,29401,91.7,87.2,67.3
"M66.D5C21.7",81511,74809,72130,43901,91.8,88.5,53.9
"M67.D1F41.7",89276,82433,80196,56447,92.3,89.8,63.2
"M69.D1C21.10",72834,67006,65159,48391,92,89.5,66.4
"M7.D1F41.10",118080,108839,105951,77331,92.2,89.7,65.5
"M72.D2C22.13",110805,101352,97744,63285,91.5,88.2,57.1
"M73.D1C11.1",118689,107282,104721,74838,90.4,88.2,63.1
"M75.D1F31.7",118666,107945,105426,74795,91,88.8,63
"M76.D4F32.7",105708,95820,92890,67020,90.6,87.9,63.4
"M77.D1C21.1",74055,67060,64215,46097,90.6,86.7,62.2
"M78.D5C12.1",114772,104362,101913,61780,90.9,88.8,53.8
"M8.D5F41.7",108336,99861,96101,69650,92.2,88.7,64.3
"M80.D5F32.7",112129,103071,100407,68492,91.9,89.5,61.1
"M81.D2C12.8",117927,107910,105281,72385,91.5,89.3,61.4
"M82.D5F32.12",118032,107607,104975,68807,91.2,88.9,58.3
"M83.D5F41.12",49416,44506,43348,33492,90.1,87.7,67.8
"M85.D1F42.1",114460,102433,99339,71717,89.5,86.8,62.7
"M86.D2F42.8",104992,92917,87418,51765,88.5,83.3,49.3
"M87.D1F31.1",103140,93707,91205,64066,90.9,88.4,62.1
"M88.D1C11.7",116908,103395,98082,67743,88.4,83.9,57.9
"M91.D5F42.1",106716,97543,94990,65951,91.4,89,61.8
"M92.D1F31.10",113643,104454,101099,73333,91.9,89,64.5
"M93.D2F32.1",119689,109162,106012,77862,91.2,88.6,65.1
"M94.D5F42.7",115759,105819,103120,68808,91.4,89.1,59.4
"M95.D2C21.13",40705,37219,36049,27505,91.4,88.6,67.6
"M96.D2F31.8",75385,69338,67235,41457,92,89.2,55
