"","input","filtered","denoisedF","denoisedR","merged","nonchim","filter_pct","denoiseF_pct","denoiseR_pct","merge_pct","chimera_pct","overall_pct"
"M1.D2F31.1",116937,99676,95882,95388,77801,30611,85.24,96.19,95.7,81.14,39.35,26.18
"M10.D5F31.12",114070,98412,95138,94869,84016,35185,86.27,96.67,96.4,88.31,41.88,30.85
"M11.D2C21.1",55841,48232,46052,45619,38072,18610,86.37,95.48,94.58,82.67,48.88,33.33
"M12.D2F41.13",112314,97406,93316,93477,78836,35297,86.73,95.8,95.97,84.48,44.77,31.43
"M13.D2C11.13",100411,85943,82941,82517,66970,28664,85.59,96.51,96.01,80.74,42.8,28.55
"M15.D5F31.7",113587,98461,95918,95468,81440,33504,86.68,97.42,96.96,84.91,41.14,29.5
"M18.D1F41.1",87861,74770,72021,71456,58696,25838,85.1,96.32,95.57,81.5,44.02,29.41
"M19.D1C22.1",101070,86988,84292,84004,73878,40326,86.07,96.9,96.57,87.65,54.58,39.9
"M2.D5C11.1",107075,93808,90857,90551,76605,33458,87.61,96.85,96.53,84.31,43.68,31.25
"M20.D1C22.10",100891,86192,83053,82856,70188,32439,85.43,96.36,96.13,84.51,46.22,32.15
"M21.D5C12.12",100544,85926,82171,82053,68556,30214,85.46,95.63,95.49,83.43,44.07,30.05
"M22.D1C11.10",106276,91849,89353,89104,78687,35915,86.42,97.28,97.01,88.06,45.64,33.79
"M23.D5F41.1",63247,54948,52638,52341,42783,19697,86.88,95.8,95.26,81.28,46.04,31.14
"M24.D2F31.13",103041,87576,84292,83975,71899,34539,84.99,96.25,95.89,85.3,48.04,33.52
"M25.D1C12.7",100137,86518,82744,82448,62791,24840,86.4,95.64,95.3,75.89,39.56,24.81
"M26.D1F42.7",102670,88845,85099,85385,66396,25129,86.53,95.78,96.11,78.02,37.85,24.48
"M27.D4C21.15",102468,89128,86696,86195,72363,31985,86.98,97.27,96.71,83.47,44.2,31.21
"M28.D2C22.8",114400,99705,96294,96303,75271,27266,87.15,96.58,96.59,78.17,36.22,23.83
"M29.D2C11.8",94120,82162,79164,79591,64161,27358,87.29,96.35,96.87,81.05,42.64,29.07
"M30.D2C12.13",61404,53571,50935,51043,39230,15554,87.24,95.08,95.28,77.02,39.65,25.33
"M33.D2F41.8",74475,62723,58103,58514,44649,20403,84.22,92.63,93.29,76.84,45.7,27.4
"M34.D5C12.7",113229,97856,94680,94545,79052,30554,86.42,96.75,96.62,83.49,38.65,26.98
"M35.D5C21.1",56107,48331,46308,45863,36963,16731,86.14,95.81,94.89,79.82,45.26,29.82
"M36.D5F42.12",109237,94797,90038,90329,71893,31280,86.78,94.98,95.29,79.85,43.51,28.63
"M37.D1F32.7",102304,88005,84233,84503,66477,25623,86.02,95.71,96.02,78.92,38.54,25.05
"M38.D1F32.1",110251,94745,92090,91866,77690,34703,85.94,97.2,96.96,84.36,44.67,31.48
"M39.D1F32.10",107652,93963,91197,90949,77439,36859,87.28,97.06,96.79,84.91,47.6,34.24
"M4.D1C21.7",103964,90898,87661,87357,70016,29270,87.43,96.44,96.1,79.87,41.8,28.15
"M40.D2C21.8",108522,94744,91391,91051,72309,31154,87.3,96.46,96.1,79.12,43.08,28.71
"M41.D2F32.8",86358,74225,71190,70993,55470,22732,85.95,95.91,95.65,77.92,40.98,26.32
"M43.D2C11.1",109808,95404,92188,91602,78428,39689,86.88,96.63,96.01,85.07,50.61,36.14
"M44.D2C22.1",117603,101729,97114,97362,80333,38826,86.5,95.46,95.71,82.72,48.33,33.01
"M45.D2F32.13",112197,97963,92781,93218,74580,31177,87.31,94.71,95.16,80.38,41.8,27.79
"M48.D5F32.1",101375,84616,78818,79032,62583,29273,83.47,93.15,93.4,79.4,46.77,28.88
"M49.D5F31.1",115379,98417,95270,95370,79747,34629,85.3,96.8,96.9,83.71,43.42,30.01
"M50.D1C22.7",100626,87136,83056,83463,65421,25160,86.59,95.32,95.78,78.77,38.46,25
"M51.D1C12.1",113632,98630,95039,94596,76172,31224,86.8,96.36,95.91,80.15,40.99,27.48
"M52.D1C12.10",102214,88031,84439,84639,68294,25596,86.12,95.92,96.15,80.88,37.48,25.04
"M53.D2C12.1",38124,32619,30234,30577,23244,10400,85.56,92.69,93.74,76.88,44.74,27.28
"M55.D2F41.1",87053,75935,73224,73244,58475,26072,87.23,96.43,96.46,79.86,44.59,29.95
"M56.D2F42.1",86713,75199,71205,71806,55851,24487,86.72,94.69,95.49,78.44,43.84,28.24
"M57.D5C22.12",85327,73941,71456,71535,60279,26604,86.66,96.64,96.75,84.36,44.13,31.18
"M58.D5C11.12",117494,101596,98717,98695,83115,31542,86.47,97.17,97.14,84.2,37.95,26.85
"M60.D5C22.1",99473,86494,83324,83560,71083,32508,86.95,96.34,96.61,85.31,45.73,32.68
"M63.D1F42.10",100309,87264,84328,84266,68663,28359,87,96.64,96.56,81.42,41.3,28.27
"M64.D2F42.13",106106,92441,89002,89287,72290,27696,87.12,96.28,96.59,81.22,38.31,26.1
"M65.D5C21.12",43668,37881,35600,36213,28755,12786,86.75,93.98,95.6,80.77,44.47,29.28
"M66.D5C21.7",81511,71140,68324,68632,56566,21791,87.28,96.04,96.47,82.79,38.52,26.73
"M67.D1F41.7",89276,78737,75959,75460,59714,24944,88.2,96.47,95.84,78.61,41.77,27.94
"M69.D1C21.10",72834,63863,61665,61831,51491,21863,87.68,96.56,96.82,83.5,42.46,30.02
"M7.D1F41.10",118080,103585,100372,99536,86924,40816,87.72,96.9,96.09,86.6,46.96,34.57
"M72.D2C22.13",110805,96251,92226,93500,78465,31682,86.87,95.82,97.14,85.08,40.38,28.59
"M73.D1C11.1",118689,101209,98475,98722,85969,38934,85.27,97.3,97.54,87.3,45.29,32.8
"M75.D1F31.7",118666,102362,99224,99019,82839,33934,86.26,96.93,96.73,83.49,40.96,28.6
"M76.D4F32.7",105708,90285,87225,87240,73677,29358,85.41,96.61,96.63,84.47,39.85,27.77
"M77.D1C21.1",74055,63387,60486,61367,51255,24248,85.59,95.42,96.81,84.74,47.31,32.74
"M78.D5C12.1",114772,98823,96038,96317,84282,35030,86.1,97.18,97.46,87.76,41.56,30.52
"M8.D5F41.7",108336,94669,90801,90688,77225,30772,87.38,95.91,95.79,85.05,39.85,28.4
"M80.D5F32.7",112129,97738,94479,94306,78211,30825,87.17,96.67,96.49,82.78,39.41,27.49
"M81.D2C12.8",117927,102983,100144,100337,86367,38039,87.33,97.24,97.43,86.24,44.04,32.26
"M82.D5F32.12",118032,102239,99240,99188,83971,32316,86.62,97.07,97.02,84.61,38.48,27.38
"M83.D5F41.12",49416,42045,40645,40484,34807,17091,85.08,96.67,96.29,85.64,49.1,34.59
"M85.D1F42.1",114460,95830,92469,92816,80178,34123,83.72,96.49,96.85,86.71,42.56,29.81
"M86.D2F42.8",104992,87132,81887,83031,67815,26887,82.99,93.98,95.29,82.82,39.65,25.61
"M87.D1F31.1",103140,88754,85257,84927,69264,28179,86.05,96.06,95.69,81.24,40.68,27.32
"M88.D1C11.7",116908,97649,92430,93061,77345,28916,83.53,94.66,95.3,83.68,37.39,24.73
"M91.D5F42.1",106716,92646,89299,89246,72298,30943,86.82,96.39,96.33,80.96,42.8,29
"M92.D1F31.10",113643,99179,95145,95275,78004,33481,87.27,95.93,96.06,81.98,42.92,29.46
"M93.D2F32.1",119689,103962,100593,100661,85602,37226,86.86,96.76,96.82,85.1,43.49,31.1
"M94.D5F42.7",115759,100616,97090,97103,79871,25396,86.92,96.5,96.51,82.26,31.8,21.94
"M95.D2C21.13",40705,35392,33961,33729,28052,12484,86.95,95.96,95.3,82.6,44.5,30.67
"M96.D2F31.8",75385,66512,64395,63955,57979,16356,88.23,96.82,96.16,90.04,28.21,21.7
