"","input","filtered","denoisedF","denoisedR","merged","nonchim","input_pct","filtered_pct","denoisedF_pct","denoisedR_pct","merged_pct","nonchim_pct"
"M1.D2F31.1",116937,116892,116892,116892,91910,34589,100,100,100,100,78.6,29.6
"M10.D5F31.12",114070,114008,114008,114008,97662,40084,100,99.9,99.9,99.9,85.6,35.1
"M11.D2C21.1",55841,55821,55821,55821,45294,22639,100,100,100,100,81.1,40.5
"M12.D2F41.13",112314,112265,112265,112265,91785,39208,100,100,100,100,81.7,34.9
"M13.D2C11.13",100411,100346,100346,100346,80197,33974,100,99.9,99.9,99.9,79.9,33.8
"M15.D5F31.7",113587,113527,113527,113527,96528,39942,100,99.9,99.9,99.9,85,35.2
"M18.D1F41.1",87861,87827,87827,87827,69951,29511,100,100,100,100,79.6,33.6
"M19.D1C22.1",101070,101012,101012,101012,87078,46765,100,99.9,99.9,99.9,86.2,46.3
"M2.D5C11.1",107075,107026,107026,107026,89240,38753,100,100,100,100,83.3,36.2
"M20.D1C22.10",100891,100831,100831,100831,82753,37329,100,99.9,99.9,99.9,82,37
"M21.D5C12.12",100544,100495,100495,100495,81489,35565,100,100,100,100,81,35.4
"M22.D1C11.10",106276,106226,106226,106226,92569,41246,100,100,100,100,87.1,38.8
"M23.D5F41.1",63247,63223,63223,63223,51238,22618,100,100,100,100,81,35.8
"M24.D2F31.13",103041,102981,102981,102981,85371,40733,100,99.9,99.9,99.9,82.9,39.5
"M25.D1C12.7",100137,100076,100076,100076,75181,28672,100,99.9,99.9,99.9,75.1,28.6
"M26.D1F42.7",102670,102604,102604,102604,78191,29743,100,99.9,99.9,99.9,76.2,29
"M27.D4C21.15",102468,102405,102405,102405,85296,37888,100,99.9,99.9,99.9,83.2,37
"M28.D2C22.8",114400,114325,114325,114325,88668,32161,100,99.9,99.9,99.9,77.5,28.1
"M29.D2C11.8",94120,94082,94082,94082,75192,31870,100,100,100,100,79.9,33.9
"M30.D2C12.13",61404,61379,61379,61379,47007,18113,100,100,100,100,76.6,29.5
"M33.D2F41.8",74475,74441,74441,74441,53376,23855,100,100,100,100,71.7,32
"M34.D5C12.7",113229,113162,113162,113162,93458,35308,100,99.9,99.9,99.9,82.5,31.2
"M35.D5C21.1",56107,56088,56088,56088,44678,19355,100,100,100,100,79.6,34.5
"M36.D5F42.12",109237,109167,109167,109167,84719,36259,100,99.9,99.9,99.9,77.6,33.2
"M37.D1F32.7",102304,102233,102233,102233,79174,30278,100,99.9,99.9,99.9,77.4,29.6
"M38.D1F32.1",110251,110136,110136,110136,92254,40941,100,99.9,99.9,99.9,83.7,37.1
"M39.D1F32.10",107652,107597,107597,107597,90837,43411,100,99.9,99.9,99.9,84.4,40.3
"M4.D1C21.7",103964,103924,103924,103924,82341,33169,100,100,100,100,79.2,31.9
"M40.D2C21.8",108522,108458,108458,108458,85332,35089,100,99.9,99.9,99.9,78.6,32.3
"M41.D2F32.8",86358,86326,86326,86326,65955,26869,100,100,100,100,76.4,31.1
"M43.D2C11.1",109808,109750,109750,109750,92042,46510,100,99.9,99.9,99.9,83.8,42.4
"M44.D2C22.1",117603,117547,117547,117547,94413,45477,100,100,100,100,80.3,38.7
"M45.D2F32.13",112197,112158,112158,112158,87708,35021,100,100,100,100,78.2,31.2
"M48.D5F32.1",101375,101310,101310,101310,74696,34271,100,99.9,99.9,99.9,73.7,33.8
"M49.D5F31.1",115379,115320,115320,115320,95445,40665,100,99.9,99.9,99.9,82.7,35.2
"M50.D1C22.7",100626,100575,100575,100575,78740,28345,100,99.9,99.9,99.9,78.3,28.2
"M51.D1C12.1",113632,113566,113566,113566,90950,35649,100,99.9,99.9,99.9,80,31.4
"M52.D1C12.10",102214,102173,102173,102173,81865,29742,100,100,100,100,80.1,29.1
"M53.D2C12.1",38124,38115,38115,38115,28072,12092,100,100,100,100,73.6,31.7
"M55.D2F41.1",87053,87015,87015,87015,69248,29529,100,100,100,100,79.5,33.9
"M56.D2F42.1",86713,86676,86676,86676,66926,28170,100,100,100,100,77.2,32.5
